timestamp,uav_id,x,y,z,vx,vy,vz,speed
9.3,26,55.7477,64.6658,36.5473,9.1825,11.8193,-17.5536,23.0682
9.3,27,132.9251,8.4477,39.8146,-12.1883,-26.9407,-13.8135,32.6369
9.3,28,112.4712,14.4339,46.3739,2.0984,1.9695,17.9032,18.1331
9.3,29,154.9137,122.4357,44.8108,11.9858,5.9733,7.4287,15.3142
9.3,30,129.7289,27.1415,26.4672,-3.953,-16.7538,22.0521,27.9752
9.3,31,77.9535,168.9615,29.2566,2.4678,1.041,27.1453,27.2771
9.3,32,146.111,112.3676,26.6633,1.3136,8.1386,-9.2663,12.4027
9.3,33,31.5299,71.1693,6.4759,3.7663,-7.4222,-5.2204,9.8248
9.3,34,10.147,122.068,40.3738,5.1774,-13.1518,6.9133,15.7343
9.3,35,31.3054,9.6689,29.0337,1.3151,-1.7148,-28.1854,28.2681
9.3,36,151.0361,194.4997,7.0316,-11.5989,22.3804,5.736,25.8519
9.3,37,104.1418,107.8397,13.895,-13.9046,-2.4761,20.5988,24.9756
9.3,38,28.6557,153.5013,40.5238,4.1077,-27.8002,10.1616,29.8829
9.3,39,86.725,1.7586,3.22,6.9472,8.0811,-7.9808,13.3139
9.3,40,37.3328,107.5115,26.2648,-1.8551,-11.4291,9.8329,15.1905
9.3,41,145.5214,106.488,40.4727,2.2719,1.5964,-5.6218,6.2702
9.3,42,90.2626,186.8512,16.3948,8.6215,-5.2275,29.3805,31.0624
9.3,43,83.9036,132.9244,38.2057,-4.5563,-5.3219,-21.3529,22.4729
9.3,44,56.025,107.6632,38.0804,-5.7931,0.2438,12.681,13.9437
9.3,45,107.1002,47.0391,4.5701,-7.0498,0.6785,-0.0487,7.0825
9.3,46,69.1904,78.0021,24.4647,10.8828,23.6505,-5.9356,26.7023
9.3,47,15.1879,105.9573,24.3399,-15.5666,22.624,0.0571,27.4621
9.3,48,5.708,78.8079,18.3307,-2.1055,-14.5475,-20.2041,24.9854
9.3,49,197.0137,4.6945,20.2025,-10.6529,-2.8026,-1.473,11.1134
9.4,0,48.5366,179.5674,7.8354,2.5633,-3.5412,-21.174,21.6206
9.4,1,2.1818,153.1105,28.1517,2.6094,-7.8699,-21.8827,23.4008
9.4,2,179.3334,31.5284,6.7604,0.9654,1.5877,26.7143,26.7788
9.4,3,114.9233,179.7659,25.3976,-5.3686,-10.283,-9.6095,15.0634
9.4,4,146.0092,154.0938,9.534,2.7437,-3.454,-3.0585,5.3677
9.4,5,155.1022,150.6053,46.0653,3.9551,-8.437,-22.0813,23.9669
9.4,6,72.8014,77.707,37.122,-21.7101,10.9534,25.1189,34.9609
9.4,7,127.2528,73.3727,33.3042,3.1183,0.972,13.4454,13.8365
9.4,8,26.1074,22.9085,34.9951,5.859,-2.7046,8.3058,10.518
9.4,9,36.1187,185.9222,30.7953,-10.0145,7.6792,4.6609,13.453
9.4,10,127.8663,95.696,23.2768,-6.315,7.5388,14.7916,17.7625
9.4,11,111.6712,30.7735,48.1358,0.7149,-11.9433,-3.7125,12.5274
9.4,12,111.2456,51.8822,5.9346,-0.5772,6.5574,13.9319,15.4088
9.4,13,174.6483,91.6267,17.5942,7.2514,-12.3059,19.4684,24.1462
9.4,14,122.4891,62.104,16.178,0.0739,0.0382,-15.3506,15.3508
9.4,15,111.3699,172.6283,24.5491,-0.984,-16.8406,-0.6472,16.8818
9.4,16,92.9365,157.1936,44.4899,4.4759,-0.9772,-4.1788,6.2009
9.4,17,54.1945,136.8121,39.2474,8.7044,-0.2315,-31.3515,32.5383
9.4,18,4.5656,80.3981,13.0171,7.0955,-3.6827,15.2367,17.2066
9.4,19,89.6106,123.948,33.6409,0.255,-0.269,-14.8397,14.8443
9.4,20,50.2665,115.1946,22.4725,-1.0276,5.6007,5.0253,7.5945
9.4,21,92.8305,132.8628,25.7728,0.8715,-0.1854,24.009,24.0255
9.4,22,170.1424,23.704,18.8476,27.7518,-13.5098,-1.7453,30.9147
9.4,23,41.1387,71.566,31.4395,-5.5983,-1.2282,-2.4537,6.2346
9.4,24,1.4156,22.7085,15.6066,-7.2236,5.1055,3.0544,9.3582
9.4,25,50.6521,104.9859,6.1522,4.1824,3.4277,7.6787,9.3917
9.4,26,54.4167,63.8136,34.8669,-13.3104,-8.5216,-16.8035,23.0682
9.4,27,132.218,6.2456,37.5119,-7.0716,-22.021,-23.0269,32.6369
9.4,28,111.0617,15.4048,46.973,-14.0944,9.709,5.9909,18.1331
9.4,29,154.6748,122.5958,46.315,-2.3885,1.6007,15.0419,15.3142
9.4,30,127.7088,26.1391,24.8118,-20.2011,-10.0244,-16.5541,27.9752
9.4,31,80.4409,169.4002,28.2267,24.874,4.387,-10.2994,27.2771
9.4,32,146.1361,112.3608,27.9033,0.2507,-0.068,12.4,12.4027
9.4,33,31.4017,71.6697,5.6402,-1.2817,5.004,-8.3572,9.8248
9.4,34,10.3855,122.3596,38.8461,2.3853,2.9164,-15.2766,15.7343
9.4,35,34.019,9.7625,29.8203,27.1356,0.9361,7.8657,28.2681
9.4,36,151.1586,194.3456,4.4539,1.2252,-1.5413,-25.7768,25.8519
9.4,37,105.0174,106.8238,11.788,8.7552,-10.1592,-21.0694,24.9756
9.4,38,30.9443,155.0631,41.6431,22.8862,15.618,11.1932,29.8829
9.4,39,87.3979,2.7129,3.8597,6.7298,9.5425,6.3961,13.3139
9.4,40,35.8952,107.9997,26.3145,-14.3762,4.8815,0.4974,15.1905
9.4,41,145.7517,107.0265,40.2488,2.3021,5.3852,-2.2394,6.2702
9.4,42,89.9941,183.8455,17.1313,-2.6848,-30.0569,7.365,31.0624
